2026-06-23 14:03:18 upgrade libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.1 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:18 status half-configured libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status unpacked libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status half-installed libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status unpacked libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:18 upgrade libgbm1:amd64 25.2.8-0ubuntu0.24.04.1 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:18 status half-configured libgbm1:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status unpacked libgbm1:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status half-installed libgbm1:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:18 status unpacked libgbm1:amd64 25.2.8-0ubuntu0.24.04.2
